Region,Date,Total Sales Amount,Total Units Sold,Market Trend Index
South,2023-10-18,431262.53,3857,85.39
East,2023-12-12,181155.01,1267,18.72
West,2023-04-21,244471.87,3544,45.57
North,2023-11-06,349256.54,4245,64.4
South,2023-09-19,334829.4,3300,10.85
East,2023-09-19,195856.82,1523,32.78
West,2023-10-21,433136.02,2167,52.99
North,2023-10-16,388204.74,2701,14.57
South,2023-03-30,458885.66,2781,85.97
East,2023-06-06,410796.42,2602,32.15
West,2023-08-12,262651.98,3389,28.37
North,2023-04-20,448038.51,3839,66.62
South,2023-12-02,176557.22,1376,58.81
East,2023-11-08,155716.77,1356,15.76
West,2023-12-13,497471.92,1311,15.45
North,2023-02-02,461425.61,3137,76.46
South,2023-07-10,441694.0,1183,69.02
East,2023-04-21,313594.67,1104,10.18
West,2023-05-26,358156.53,2416,99.05
North,2023-02-27,279974.41,2685,53.85
South,2023-10-15,214125.7,2589,77.84
East,2023-12-30,328139.83,3371,27.56
West,2023-07-14,361577.67,4612,97.39
North,2023-12-16,173355.27,2826,51.76
South,2023-10-19,354275.78,1808,55.42
East,2023-04-19,242917.54,3242,12.96
West,2023-01-15,351550.33,4053,33.74
North,2023-04-30,308679.82,3371,12.47
South,2023-07-02,361529.48,4490,70.69
East,2023-06-26,339938.49,3182,3.02
West,2023-08-13,475797.6,1137,27.11
North,2023-08-03,104026.35,3759,90.86
South,2023-07-20,185794.84,4922,48.66
East,2023-04-18,192525.28,2803,89.67
West,2023-06-13,249052.44,2068,81.07
North,2023-12-02,312922.88,4165,91.31
South,2023-05-17,489159.52,4713,0.19
East,2023-03-05,199103.53,2878,48.37
West,2023-12-14,374627.71,2957,56.1
North,2023-04-19,226810.13,2802,7.35
South,2023-10-11,153381.9,1450,83.04
East,2023-06-20,139233.27,2079,48.04
West,2023-04-07,154998.33,3283,60.5
North,2023-06-24,491326.9,4270,48.38
South,2023-02-15,103632.57,1026,94.54
East,2023-04-21,424223.12,3987,4.24
West,2023-05-01,349209.85,1081,89.82
North,2023-12-07,192523.65,3692,93.56
South,2023-07-04,270406.63,4962,47.16
East,2023-04-10,490902.55,3998,3.33
West,2023-08-08,174853.01,3850,70.92
North,2023-12-19,431546.78,3909,96.06
South,2023-02-01,480843.55,1775,4.48
East,2023-06-25,404876.65,2870,4.97
West,2023-07-21,359172.93,2303,57.07
North,2023-10-14,288954.82,1097,30.32
South,2023-08-11,441637.6,3510,75.39
East,2023-09-10,178159.35,2613,39.47
West,2023-03-19,219067.36,2800,92.36
North,2023-08-24,461196.01,2752,10.6
South,2023-07-10,153585.45,1929,7.52
East,2023-03-22,192088.21,3260,74.16
West,2023-10-05,469677.82,2019,90.33
North,2023-11-06,201015.82,4538,43.36
South,2023-05-19,488348.2,2731,40.59
East,2023-06-21,182680.3,3288,93.04
West,2023-06-01,296761.03,1580,9.17
North,2023-11-28,120844.24,4017,90.7
South,2023-01-21,411558.49,1990,1.9
East,2023-06-29,114659.11,3479,21.58
West,2023-10-31,399359.67,4779,38.93
North,2023-11-22,373093.4,3217,9.17
South,2023-07-08,124789.14,4261,82.85
East,2023-03-09,192425.57,2239,82.35
West,2023-11-29,446655.53,4091,4.52
North,2023-11-06,199344.64,1625,78.22
South,2023-01-26,392390.08,3625,72.25
East,2023-12-27,351110.25,1957,72.94
West,2023-04-28,325794.62,1763,7.06
North,2023-04-28,298168.35,2027,61.7
South,2023-02-02,260178.91,2126,37.91
East,2023-11-26,437428.35,4788,77.7
West,2023-06-14,271924.58,2757,5.23
North,2023-02-13,472566.22,3936,6.6
South,2023-06-29,279692.22,4221,70.92
East,2023-03-03,398073.04,1425,74.23
West,2023-12-15,440243.06,4932,11.72
North,2023-12-27,293619.02,3970,26.72
South,2023-05-21,276366.27,2882,93.17
East,2023-03-12,403346.59,1676,52.6
West,2023-04-08,490177.26,2602,13.45
North,2023-11-22,190180.04,2245,41.95
South,2023-08-14,188547.32,3222,16.82
East,2023-07-02,209164.84,3862,46.66
West,2023-12-30,209042.64,2570,16.82
North,2023-11-14,357176.91,1148,34.33
South,2023-10-20,462122.16,1113,25.71
East,2023-04-25,250598.72,2058,70.34
West,2023-07-10,223961.17,4084,83.95
North,2023-02-22,371645.32,3429,78.36
South,2023-01-30,102173.86,1332,1.14
East,2023-01-27,348251.88,2996,73.54
West,2023-02-23,237031.82,4024,64.05
North,2023-12-24,111043.2,3859,45.78
South,2023-12-07,305896.97,4184,4.21
East,2023-10-03,439115.3,4149,98.42
West,2023-01-11,190013.99,2480,81.07
North,2023-08-05,445005.55,4900,19.44
South,2023-06-11,150783.44,4560,33.19
East,2023-11-21,208322.33,1530,58.25
West,2023-06-23,396181.98,4654,7.88
North,2023-07-08,341549.4,3641,34.3
South,2023-03-20,255594.94,4895,60.52
East,2023-10-21,407279.57,3655,72.44
West,2023-09-08,376916.5,4104,36.88
North,2023-08-09,152496.26,2132,53.48
South,2023-06-27,130272.82,4781,57.95
East,2023-11-04,286561.01,3958,20.05
West,2023-12-29,182250.92,1189,47.96
North,2023-01-24,198422.02,3987,72.15
South,2023-04-15,471266.94,4868,71.3
East,2023-11-23,143829.04,4823,99.6
West,2023-10-04,283336.56,1962,53.04
North,2023-10-05,240479.26,4137,69.35
South,2023-02-08,178022.27,4866,82.61
East,2023-09-06,261863.01,3272,11.39
West,2023-06-05,472785.23,1100,16.61
North,2023-11-06,254860.38,3835,35.04
South,2023-06-17,398127.72,4273,84.04
East,2023-01-11,295154.26,1791,40.11
West,2023-09-01,150905.12,1839,24.79
North,2023-07-06,308379.84,4095,48.65
South,2023-04-11,114383.93,2887,24.41
East,2023-07-20,385337.94,3589,31.32
West,2023-10-01,438692.85,4301,39.7
North,2023-02-02,197729.24,2181,81.45
South,2023-02-18,190661.86,4217,53.99
East,2023-07-12,112936.92,1471,52.97
West,2023-04-12,297094.3,3988,50.79
North,2023-09-30,359296.71,1158,37.4
South,2023-08-16,111962.08,4675,12.19
East,2023-08-23,430097.09,4551,92.31
West,2023-06-15,143058.62,4221,86.76
North,2023-01-30,306699.81,3097,85.81
South,2023-03-03,191239.39,1575,86.4
East,2023-02-18,221211.33,3735,28.65
West,2023-07-10,242298.91,4319,12.22
North,2023-04-19,368257.88,2573,1.67
South,2023-02-02,166993.96,4626,67.22
East,2023-08-15,488711.58,3471,64.46
West,2023-06-09,498975.8,1416,64.57
North,2023-03-23,495756.08,1940,52.39
South,2023-06-04,335630.93,4904,69.21
East,2023-02-18,264628.31,3490,22.01
West,2023-07-03,338768.11,2031,95.35
North,2023-08-21,376338.11,1393,72.07
South,2023-01-01,223546.25,2370,61.13
East,2023-12-06,219070.2,1670,60.01
West,2023-05-09,254948.54,2506,28.89
North,2023-07-03,343372.48,4629,31.9
South,2023-08-03,424710.68,4189,86.72
East,2023-12-18,435511.2,4388,35.12
West,2023-08-07,290918.56,2309,2.19
North,2023-03-22,121689.02,3894,43.26
South,2023-05-17,228356.28,3779,28.45
East,2023-07-22,152540.89,3305,73.48
West,2023-09-20,169883.46,2671,97.66
North,2023-09-09,335534.96,4830,41.87
South,2023-01-20,272585.62,2906,80.96
East,2023-01-08,115685.21,2266,30.05
West,2023-06-30,220656.68,2470,38.37
North,2023-08-14,386202.38,4714,35.21
South,2023-12-07,304415.37,1714,19.83
East,2023-10-07,445173.72,4857,50.72
West,2023-06-25,425376.44,2263,2.87
North,2023-01-31,346576.0,3689,51.61
South,2023-01-19,309998.76,3704,26.43
East,2023-02-09,366683.07,2495,46.3
West,2023-11-29,197405.53,1424,23.02
North,2023-05-19,196862.75,3469,71.62
South,2023-01-18,476959.66,2088,36.11
East,2023-08-25,477551.24,4485,98.53
West,2023-04-07,310216.49,2346,88.59
North,2023-06-22,405328.22,1660,92.59
South,2023-10-19,488430.94,1910,1.16
East,2023-07-08,112137.81,2748,50.25
West,2023-11-30,345891.33,2551,55.96
North,2023-01-16,117090.18,3702,51.15
South,2023-03-21,206525.33,3173,80.66
East,2023-11-06,499779.09,3988,25.94
West,2023-11-16,341085.92,2123,43.22
North,2023-12-08,170499.27,3912,51.41
South,2023-06-09,412358.17,1481,53.78
East,2023-03-30,213292.09,1868,52.0
West,2023-01-06,136532.75,3703,3.96
North,2023-06-18,431363.26,2158,71.73
South,2023-07-30,391201.7,2342,69.25
East,2023-10-12,209748.96,1808,44.11
West,2023-06-26,255392.55,4512,98.06
North,2023-08-14,429370.55,1305,86.4
South,2023-11-15,289704.34,2728,25.95
East,2023-03-16,288481.43,1459,23.85
West,2023-05-19,320443.91,2929,8.88
North,2023-01-19,430529.39,3357,73.57
South,2023-04-28,234151.47,4389,37.73
East,2023-01-01,466385.05,1403,19.32
West,2023-06-16,220554.89,2871,94.38
North,2023-10-18,467908.26,2548,87.4
South,2023-02-03,413678.95,1843,99.67
East,2023-02-22,106349.95,3388,5.96
West,2023-11-29,248409.34,1127,97.82
North,2023-06-23,240957.24,3258,56.49
South,2023-09-14,216628.47,1340,45.78
East,2023-09-07,246449.89,1524,14.16
West,2023-09-04,114335.0,1802,30.52
North,2023-12-08,335425.49,4563,33.66
South,2023-12-31,236860.25,1851,83.67
East,2023-06-17,346031.2,3806,9.83
West,2023-10-12,490818.39,2849,27.26
North,2023-02-24,425219.08,2784,23.72
South,2023-12-11,119827.66,4933,39.86
East,2023-02-20,150526.03,4168,79.98
West,2023-04-12,191083.05,3014,79.07
North,2023-03-12,477032.69,1121,67.23
South,2023-08-05,427982.97,2634,17.92
East,2023-07-14,354436.79,2850,16.8
West,2023-12-25,354139.43,4126,5.39
North,2023-07-29,477925.86,3398,32.46
South,2023-03-13,354343.07,1493,10.37
East,2023-09-01,324910.27,1841,84.36
West,2023-01-13,405357.73,4377,71.5
North,2023-06-11,312820.82,1257,16.58
South,2023-11-05,400716.96,3139,98.64
East,2023-09-23,272601.19,2173,87.06
West,2023-12-08,490578.15,2488,13.75
North,2023-11-16,387515.2,2227,96.59
South,2023-10-20,382311.34,4216,34.57
East,2023-06-22,115861.97,2023,51.63
West,2023-07-30,238344.14,1376,26.08
North,2023-09-17,446973.02,2707,46.06
South,2023-07-23,480482.87,2770,47.31
East,2023-04-28,422026.5,4540,2.35
West,2023-12-28,397181.62,1046,36.34
North,2023-02-04,330360.12,2892,18.54
South,2023-10-04,144814.21,3665,83.58
East,2023-10-15,166654.23,1833,99.44
West,2023-08-21,223967.03,1795,1.47
North,2023-01-25,430567.95,4191,58.45
South,2023-02-03,198451.29,1548,10.59
East,2023-02-12,345097.65,1575,69.64
West,2023-02-02,266317.85,4026,41.36
North,2023-03-04,268079.03,3489,12.54
South,2023-06-13,483065.57,1208,74.3
East,2023-03-10,334194.25,3162,70.17
West,2023-12-04,369946.08,3731,93.87
North,2023-05-03,205794.34,3068,5.49
South,2023-12-27,327826.43,2271,28.49
East,2023-11-08,490209.27,4763,31.45
West,2023-03-15,383123.79,4324,93.69
North,2023-02-24,217877.1,2612,28.45
South,2023-12-09,182632.03,3058,72.7
East,2023-07-29,461307.69,4208,39.54
West,2023-09-07,322496.29,1770,31.33
North,2023-02-14,104480.03,4603,78.09
South,2023-06-13,110275.36,1228,83.14
East,2023-05-05,123394.56,4806,76.33
West,2023-06-06,332871.26,2901,37.81
North,2023-01-02,288106.2,4874,39.3
South,2023-12-12,494194.64,1495,8.25
East,2023-07-06,340222.57,3942,4.98
West,2023-04-24,450810.22,1778,3.84
North,2023-07-19,411006.76,2327,46.19
South,2023-05-19,379478.5,3375,36.47
East,2023-01-31,193905.55,3226,74.13
West,2023-12-24,459917.19,2299,49.13
North,2023-07-09,499624.59,2171,86.49
South,2023-03-24,165539.89,4557,83.21
East,2023-03-18,487133.23,3628,31.58
West,2023-10-28,176113.0,3985,71.5
North,2023-05-20,155229.0,2795,74.69
South,2024-01-01,313709.36,3818,29.82
East,2023-07-30,425289.9,4723,22.26
West,2023-03-19,370740.3,2113,84.63
North,2023-05-08,430300.89,4559,77.18
South,2023-11-22,340142.3,1976,48.84
East,2023-04-23,299187.59,3487,59.64
West,2023-10-06,271399.6,4970,53.18
North,2023-04-13,172644.24,1617,74.32
South,2023-05-17,478014.76,4593,32.97
East,2023-11-01,152835.67,4899,65.36
West,2023-09-29,221138.56,4952,14.69
North,2023-11-01,123211.65,1248,92.62
South,2023-07-13,207122.15,1808,1.93
East,2023-09-10,192871.81,3448,43.84
West,2023-10-25,140668.51,3214,16.57
North,2023-05-25,436262.98,3270,67.41
South,2023-03-02,108643.93,2923,93.33
East,2023-11-30,378037.45,3450,21.93
West,2023-09-08,173902.87,2699,7.58
North,2023-11-20,419885.53,1599,10.92
South,2023-05-16,202242.27,2363,83.13
East,2023-06-06,387120.07,1102,47.29
West,2023-02-24,343863.51,1859,68.89
North,2023-10-20,486448.84,4122,76.29
South,2023-09-03,390399.92,3188,19.21
East,2023-04-20,318638.75,1539,45.78
West,2023-07-04,407529.98,3959,3.35
North,2023-09-02,146148.09,4825,71.86
South,2023-07-25,312881.22,2381,20.28
East,2023-08-24,164992.8,3834,9.95
West,2023-09-28,464392.54,2816,51.75
North,2023-12-02,496451.56,4940,7.56
South,2023-05-12,329180.47,3112,21.71
East,2023-04-20,366362.6,1211,77.74
West,2023-08-09,215209.09,2912,21.44
North,2023-02-12,339151.74,3936,60.9
South,2023-04-29,313475.61,1240,48.39
East,2023-09-15,423241.56,3529,35.87
West,2023-01-18,235168.84,3418,84.77
North,2023-01-21,151503.13,1598,24.22
South,2023-11-23,417987.26,2871,16.97
East,2023-09-03,237466.25,2118,20.85
West,2023-10-28,362597.86,4889,88.75
North,2023-05-31,402041.15,4600,63.28
South,2023-08-04,265399.84,3372,28.66
East,2023-07-24,233186.44,2426,84.73
West,2023-09-17,201904.5,2929,0.4
North,2023-10-03,415737.52,3100,68.73
South,2023-03-22,101319.0,1522,49.44
East,2023-06-07,278672.0,1331,59.04
West,2023-06-02,426289.26,2013,67.4
North,2023-10-06,472369.8,3891,11.65
South,2023-05-21,419758.06,1578,10.95
East,2023-10-06,119670.73,3147,63.28
West,2023-06-21,461888.25,3486,42.47
North,2023-03-23,323818.13,3622,57.65
South,2023-05-19,289685.69,4884,41.88
East,2023-08-17,467237.65,4095,44.3
West,2023-02-20,441534.96,3648,72.62
North,2023-01-29,431426.74,1766,96.23
South,2023-06-01,265629.69,1491,80.48
East,2023-04-11,404551.7,1756,82.11
West,2023-02-12,216290.38,1542,56.52
North,2023-05-07,176662.08,4495,77.58
South,2023-11-28,474796.01,2107,17.54
East,2023-07-11,470749.25,4519,48.91
West,2023-08-20,192742.82,1663,56.73
North,2023-03-13,198872.5,1784,66.14
South,2023-07-22,319895.68,3925,43.71
East,2023-05-27,184889.4,2775,78.15
West,2023-08-08,286924.42,2877,12.4
North,2023-08-24,178688.95,1964,64.98
South,2023-01-12,109483.46,2800,43.01
East,2023-06-10,110962.6,4390,46.48
West,2023-02-16,180987.14,2741,66.37
North,2023-06-19,340331.71,4687,3.32
South,2023-08-14,318842.76,3288,21.33
East,2023-11-22,135801.07,4533,39.3
West,2023-12-11,487317.96,3474,2.71
North,2023-12-24,198080.57,1038,22.09
South,2023-10-11,248122.33,2656,2.12
East,2023-04-22,239456.81,2274,46.87
West,2023-05-03,498125.22,1392,83.74
North,2023-08-18,183529.25,4573,16.41
South,2023-09-02,406474.96,1610,19.41
East,2023-08-20,425406.81,4276,19.95
West,2023-05-11,472465.09,2159,96.8
North,2023-06-01,446265.95,4383,64.18
South,2023-11-13,342681.73,2046,26.37
East,2023-02-08,217702.85,1885,37.86
West,2023-10-06,181265.54,3800,61.27
North,2023-06-25,243750.04,1731,54.7
South,2023-04-29,407941.11,2258,83.93
East,2023-04-17,493877.7,1797,11.94
West,2023-08-03,470107.73,4754,98.29
North,2023-12-17,400424.19,4274,62.26
South,2023-10-17,324723.84,1516,73.5
East,2023-06-25,145092.79,2452,0.31
West,2023-01-23,257752.15,4825,92.23
North,2023-09-14,237768.1,1315,80.81
South,2023-05-10,234086.37,4235,36.96
East,2023-01-17,475630.95,3140,0.03
West,2023-07-08,225969.99,4473,12.46
North,2023-08-24,242536.67,3587,23.65
South,2023-05-06,255183.22,4352,10.04
East,2023-10-29,290578.7,1538,23.2
West,2023-10-16,497572.12,3790,92.46
North,2023-11-06,388214.74,3984,30.83
South,2023-06-25,268577.15,2699,73.34
East,2023-01-06,258282.91,3372,1.54
West,2023-03-03,431834.13,4059,8.82
North,2023-08-24,259821.42,2212,68.69
South,2023-05-20,478124.36,1656,2.98
East,2023-04-30,131833.06,3899,65.47
West,2023-03-18,335362.43,1043,43.91
North,2023-09-14,124775.48,3925,31.73
South,2023-02-10,405632.73,3737,86.0
East,2023-12-17,359550.39,2058,58.56
West,2023-05-13,326588.37,4513,79.02
North,2023-06-08,224209.84,2267,8.48
South,2023-10-22,406627.61,2790,92.98
East,2023-12-26,192539.37,4496,86.32
West,2023-05-19,334408.87,3109,17.24
North,2023-02-17,255485.89,3909,35.59
South,2023-09-14,158511.43,3966,97.58
East,2023-05-20,291674.96,1422,6.22
West,2023-05-08,172770.45,4631,32.95
North,2023-06-30,186505.91,1127,71.21
South,2023-03-22,432321.01,4656,67.98
East,2023-02-05,418392.61,4791,2.06
West,2023-10-11,434797.39,2333,67.16
North,2023-10-10,341687.65,1586,93.5
South,2023-07-01,129980.63,1081,81.25
East,2023-11-11,275923.66,2573,50.24
West,2023-01-06,303323.2,3864,77.01
North,2023-10-11,320186.06,2810,33.55
South,2023-10-29,350063.43,3649,17.0
East,2023-07-29,413104.93,3335,79.33
West,2023-01-13,475153.56,4783,3.6
North,2023-10-26,163184.5,4223,41.35
South,2023-11-30,249955.21,4436,53.04
East,2023-06-21,168942.47,2629,98.33
West,2023-05-22,199011.1,3168,54.93
North,2023-10-11,171458.43,1612,5.19
South,2023-09-16,369245.58,4641,55.21
East,2023-08-11,388201.43,2903,49.34
West,2023-06-01,457647.74,4986,13.0
North,2023-11-08,154880.86,3327,33.39
South,2023-05-28,416063.07,4414,92.02
East,2023-02-11,393198.13,2999,43.54
West,2023-07-13,199410.31,1254,2.5
North,2023-05-16,467656.95,4520,13.82
South,2023-05-23,179515.44,3569,37.75
East,2023-08-15,182140.51,4478,59.94
West,2023-11-30,441115.05,3945,96.26
North,2023-10-27,218931.39,2984,26.41
South,2023-02-07,385800.79,3296,49.36
East,2023-09-30,192857.6,4695,38.93
West,2023-10-22,268666.08,2477,81.17
North,2023-12-11,113402.13,4586,63.01
South,2023-05-26,344005.03,2544,64.39
East,2023-03-10,242569.5,1803,49.31
West,2023-11-24,485359.35,1225,3.08
North,2023-03-21,466359.3,3015,10.21
South,2023-06-15,218062.0,4933,16.35
East,2023-07-10,334151.43,1036,25.42
West,2023-05-05,127379.95,1848,81.73
North,2023-10-22,349916.91,2548,88.66
South,2023-03-18,254021.09,4506,40.31
East,2023-02-06,202082.9,3039,44.4
West,2023-05-01,161319.88,3009,31.78
North,2023-03-09,137524.84,4927,39.2
South,2023-01-29,115800.26,1505,58.12
East,2023-02-13,151869.6,3559,69.39
West,2023-12-24,251079.24,4206,6.55
North,2023-08-21,278215.12,3206,74.78
South,2023-04-30,489002.95,3097,83.37
East,2023-10-12,211830.93,3190,4.85
West,2023-12-19,124171.87,3366,70.28
North,2023-10-11,196063.91,4352,65.4
South,2023-03-11,493593.82,1107,7.21
East,2023-02-03,264505.09,2739,39.22
West,2023-03-20,226857.81,3275,90.15
North,2023-05-18,293279.43,1715,58.17
South,2023-12-02,342973.49,4337,30.26
East,2023-05-11,488305.24,4593,28.7
West,2023-09-14,394995.29,2173,48.52
North,2023-12-30,361977.56,2918,53.83
South,2023-04-28,461322.6,3800,43.94
East,2023-02-23,416261.22,1082,11.42
West,2023-05-07,273862.37,4705,94.72
North,2023-04-19,478460.9,2993,44.23
South,2023-10-17,499967.56,3428,73.5
East,2023-10-08,214363.04,2504,27.55
West,2023-03-13,329218.24,3929,51.03
North,2023-10-25,275191.8,2348,4.8
South,2023-01-30,391038.87,4523,73.39
East,2023-05-10,113289.6,3808,90.65
West,2023-07-02,125318.39,3330,21.65
North,2023-05-03,482588.53,1635,30.83
South,2023-11-13,179744.65,4478,12.99
East,2023-10-15,310683.8,1508,26.3
West,2023-03-11,317931.73,3848,90.1
North,2023-03-24,430490.78,3153,86.29
South,2023-05-07,202111.19,2874,25.48
East,2023-06-28,404067.17,2325,5.44
West,2023-11-03,147713.37,1007,79.17
North,2023-01-17,320826.95,4708,14.21
South,2023-01-16,431906.07,1628,80.13
East,2023-09-15,361470.72,1997,77.04
West,2023-08-28,180548.84,3534,54.84
North,2023-08-29,405521.6,1179,63.65
South,2023-02-21,193240.7,2615,35.57
East,2023-01-16,218584.87,2493,15.56
West,2023-10-27,268286.94,2022,8.92
North,2023-03-23,278138.49,4795,78.75
South,2023-11-16,428138.63,1549,67.19
East,2023-01-21,116697.54,2357,26.38
West,2023-04-27,321207.87,3996,84.23
North,2023-06-30,161831.53,1223,7.43
South,2023-07-10,306329.74,1607,75.63
East,2023-10-17,138696.9,1440,74.78
West,2023-08-25,301065.25,3747,14.18
North,2023-07-28,437715.38,3719,19.26
South,2023-08-28,431064.27,2697,60.89
East,2023-05-15,492333.99,2087,66.02
West,2023-04-09,261552.46,4253,37.13
North,2023-03-29,388814.21,2557,99.5
South,2023-06-09,305103.2,1247,61.97
East,2023-04-19,174032.55,1189,73.5
West,2023-01-18,178507.78,2411,14.29
North,2023-08-09,406757.63,1990,39.87
South,2023-03-14,133915.63,1124,36.97
East,2023-12-19,315685.79,1426,44.69
West,2023-11-05,260750.43,4162,53.88
North,2023-01-21,179578.24,3646,7.07
South,2023-05-11,441755.21,1013,66.8
East,2023-06-28,259263.82,2967,17.85
West,2023-10-04,462590.01,2709,74.9
North,2023-10-01,301893.24,4576,98.17
South,2023-04-09,444171.9,3547,92.41
East,2023-07-06,464977.94,1272,78.41
West,2023-01-24,481956.92,4034,12.38
North,2023-04-20,387337.04,1652,87.77
South,2023-11-14,374272.34,4132,69.11
East,2023-09-25,438461.0,3623,93.48
West,2023-11-21,439770.53,1145,14.4
North,2023-05-20,229338.65,3698,38.32
South,2023-10-09,483926.59,1968,73.36
East,2023-03-04,183499.5,2344,34.59
West,2023-10-23,125756.1,4213,0.53
North,2024-01-01,384286.07,3261,81.99
South,2023-10-31,427371.46,3503,0.61
East,2023-07-27,322226.61,2479,79.85
West,2023-11-12,490197.93,3506,57.2
North,2023-06-21,376498.38,1625,36.16
South,2023-09-25,116687.86,1973,31.26
East,2023-11-26,316202.91,3621,25.29
West,2023-09-12,485033.11,2180,51.01
North,2023-11-16,295871.49,4174,58.87
South,2023-11-07,387948.58,2245,51.46
East,2023-09-21,161351.85,1603,7.74
West,2023-09-04,381553.05,2707,8.16
North,2023-03-07,291261.6,1000,64.96
South,2023-03-03,131714.82,3188,34.57
East,2023-07-26,438004.45,1331,91.36
West,2023-09-30,314157.31,2926,94.62
North,2023-11-14,269068.18,2211,53.1
South,2023-11-18,175254.33,4051,17.49
East,2023-11-21,357246.29,3368,65.08
West,2023-08-10,252661.98,4584,75.31
North,2023-04-01,404051.67,4851,91.41
South,2023-02-08,401011.44,3347,42.25
East,2023-11-01,103877.78,3565,40.63
West,2023-12-10,410580.96,2208,64.59
North,2023-10-10,195711.56,2636,74.01
South,2023-10-05,244908.05,1727,5.92
East,2023-04-07,223076.9,4464,95.24
West,2023-09-06,416354.05,4263,50.34
North,2023-09-08,263784.74,4292,64.08
South,2023-04-12,183518.13,1013,22.29
East,2023-11-29,142499.26,4339,95.89
West,2024-01-01,483185.43,4626,27.71
North,2023-08-05,442361.89,3855,13.38
South,2023-06-30,394064.11,3986,38.95
East,2023-01-22,274941.49,3001,85.6
West,2023-03-26,183806.44,3211,65.24
North,2023-03-17,403777.38,3106,72.99
South,2023-07-21,259566.19,3091,75.21
East,2023-10-17,429548.27,1005,22.18
West,2023-12-31,464197.88,2300,51.78
North,2023-02-26,422727.46,3778,71.64
South,2023-03-23,393554.11,1225,45.34
East,2023-07-17,365932.67,3768,1.22
West,2023-12-18,190236.99,3597,95.04
North,2023-12-28,410164.94,1623,80.29
South,2023-04-14,239124.69,2452,59.28
East,2023-09-13,386397.92,2002,58.86
West,2023-02-23,462529.49,4343,56.65
North,2023-12-21,450722.51,3607,63.12
South,2023-02-03,347796.27,4823,66.81
East,2023-08-06,288646.67,4380,36.0
West,2023-04-14,453569.91,1010,45.14
North,2023-06-28,438624.34,1138,59.58
South,2023-01-28,441861.95,3362,4.31
East,2023-04-18,188315.4,4568,99.49
West,2023-07-26,245421.38,4664,92.75
North,2023-10-23,189416.59,3958,70.94
South,2023-03-19,458248.5,4220,22.85
East,2023-11-17,306396.83,4901,40.99
West,2023-08-20,265888.45,1707,12.11
North,2023-06-09,490831.04,1834,23.19
South,2023-09-10,490555.27,2652,71.79
East,2023-03-26,347436.22,4734,32.46
West,2023-07-07,177609.43,2424,48.32
North,2023-05-23,321160.15,3851,46.48
South,2023-09-02,368532.14,2981,0.47
East,2023-09-18,319183.09,3614,14.96
West,2023-05-14,406468.22,4878,34.61
North,2023-03-31,429605.2,3758,9.25
South,2023-04-13,103053.02,4850,55.56
East,2023-05-20,205905.76,4838,67.39
West,2023-08-19,164561.05,4814,42.88
North,2023-10-26,468947.61,4631,27.28
South,2023-01-18,227733.74,4189,87.91
East,2023-10-14,447154.56,4342,24.17
West,2023-02-13,386259.56,3147,66.27
North,2023-06-08,393666.98,3221,32.74
South,2023-09-29,279967.05,1646,78.97
East,2023-07-18,146637.78,2276,38.68
West,2023-09-17,199784.04,4641,60.45
North,2023-08-20,390076.46,4351,48.63
South,2023-04-29,431389.08,3678,93.68
East,2023-04-25,214102.44,2093,59.17
West,2023-11-04,364653.38,3780,35.78
North,2023-12-16,339110.14,2397,57.78
South,2023-09-06,396989.06,1053,89.28
East,2023-04-02,168633.81,4737,39.87
West,2023-02-26,248555.27,3539,40.24
North,2023-11-26,475849.13,2699,23.75
South,2023-02-23,449550.08,3043,33.74
East,2023-12-14,446163.11,4832,26.58
West,2023-04-20,314717.17,1107,83.34
North,2023-10-09,318800.86,1558,67.69
South,2023-03-01,402207.37,2605,81.87
East,2023-08-13,413613.3,1642,33.85
West,2023-09-25,264444.09,2473,40.2
North,2023-04-22,205806.91,1844,55.77
South,2023-10-06,417474.77,2960,55.81
East,2023-06-20,291976.65,1656,77.05
West,2023-11-01,472125.07,4985,73.6
North,2023-10-22,382660.6,2960,41.11
South,2023-08-25,365313.96,1861,76.3
East,2023-06-21,166427.89,1302,32.55
West,2023-01-18,477529.79,2891,94.86
North,2023-11-05,183570.05,3637,17.93
South,2023-09-01,337649.54,3667,31.02
East,2023-10-20,392063.05,2579,32.78
West,2023-07-21,215792.97,3230,37.28
North,2023-11-24,275331.74,3061,85.86
South,2023-03-17,145773.56,4366,39.74
East,2023-01-22,369387.35,3364,60.37
West,2023-07-19,103379.09,2821,52.25
North,2023-11-17,300596.31,3312,95.0
South,2023-09-07,260709.79,4837,70.82
East,2023-09-07,125036.45,2223,10.47
West,2023-10-15,338961.3,3709,30.8
North,2023-06-29,286241.91,4134,13.01
South,2023-06-15,479161.31,3626,45.39
East,2023-02-13,433383.43,1997,53.97
West,2023-11-12,272646.66,3498,18.57
North,2023-11-12,255857.68,1752,81.78
South,2023-08-09,310040.79,3565,94.54
East,2023-09-20,398071.24,1653,83.07
West,2023-01-08,460868.13,4369,27.95
North,2023-07-17,429363.5,1637,68.98
South,2023-07-15,346028.88,1102,2.81
East,2023-11-30,135200.92,3904,55.99
West,2023-06-12,318428.0,3761,22.32
North,2023-04-12,478432.39,4405,9.15
South,2023-03-10,450210.62,2769,14.59
East,2023-09-24,304801.04,3697,93.65
West,2023-06-20,429383.36,1700,30.91
North,2023-10-21,140711.51,1600,97.65
South,2023-07-27,439482.73,1288,63.12
